,neighborhood,name,distance,category,address,display_phone,price,rating,review_count,url,latitude,longitude
0,ALAMEDA,Guilder,424.852724346,Coffee Roasteries,2393 NE Fremont St,(503) 841-6042,$,4.5,25,https://www.yelp.com/biz/guilder-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.548383933,-122.641357464
1,ALAMEDA,Lucca,426.842222641,Italian,3449 NE 24th Ave,(503) 287-7372,$$,4.0,227,https://www.yelp.com/biz/lucca-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54801,-122.64142
2,ALAMEDA,Fire + Stone,881.329945296,Pizza,3707 NE Fremont St,(503) 719-7195,$$,3.5,134,https://www.yelp.com/biz/fire-stone-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.62454
3,ALAMEDA,Mojos Sushi,1108.75189619,Sushi Bars,1507 NE Fremont St,(971) 386-2172,$$,4.5,58,https://www.yelp.com/biz/mojos-sushi-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54845,-122.65018
4,ALAMEDA,Daddy Mojo's Cafe,1127.97996864,Pubs,1501 NE Fremont St,(503) 282-0956,$,3.5,32,https://www.yelp.com/biz/daddy-mojos-cafe-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54846,-122.65019
5,ALAMEDA,Stella Taco,1137.29016147,Mexican,2940 NE Alberta St,(971) 407-3705,$,3.5,209,https://www.yelp.com/biz/stella-taco-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55883,-122.63514
6,ALAMEDA,Bernie's Southern Bistro,1139.92553619,Southern,2904 NE Alberta St,(503) 282-9864,$$,4.0,212,https://www.yelp.com/biz/bernies-southern-bistro-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5588340759,-122.635658264
7,ALAMEDA,Cha Ba Thai,1142.52196488,Thai,3024 NE Alberta St,(503) 719-6917,$$,3.5,111,https://www.yelp.com/biz/cha-ba-thai-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.558887,-122.63425
8,ALAMEDA,Akasaru Ramen,1145.1093008,Ramen,2712 NE Alberta St,(503) 284-7000,$$,4.0,77,https://www.yelp.com/biz/akasaru-ramen-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55891,-122.63751
9,ALAMEDA,DarSalam,1154.18420812,Middle Eastern,2921 NE Alberta St,(503) 206-6148,$$,4.5,315,https://www.yelp.com/biz/darsalam-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.559094967,-122.635557952
10,ALAMEDA,The Waffle Window,1159.29395918,Waffles,2624 NE Alberta St,(503) 265-8031,$,4.0,375,https://www.yelp.com/biz/the-waffle-window-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589500341,-122.638487817
11,ALAMEDA,La Bonita,1164.41372034,Mexican,2839 NE Alberta St,(503) 281-3662,$,4.0,316,https://www.yelp.com/biz/la-bonita-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55919,-122.63606
12,ALAMEDA,La Sirenita,1168.85446876,Mexican,2817 NE Alberta St,(503) 335-8283,$,4.0,234,https://www.yelp.com/biz/la-sirenita-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55923,-122.63643
13,ALAMEDA,Vita Cafe,1171.44454056,Vegetarian,3023 NE Alberta St,(503) 335-8233,$$,4.0,628,https://www.yelp.com/biz/vita-cafe-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5591551,-122.6343181
14,ALAMEDA,Urdaneta,1176.86077433,Tapas Bars,3033 NE Alberta St,(503) 288-1990,$$$,4.5,118,https://www.yelp.com/biz/urdaneta-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5591850281,-122.634132385
15,ALAMEDA,Thai Noon Restaurant,1182.60273851,Thai,2635 NE Alberta St,(503) 282-2021,$$,4.0,221,https://www.yelp.com/biz/thai-noon-restaurant-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5591856,-122.6382797
16,ALAMEDA,The Station,1183.73877162,Gastropubs,2703 NE Alberta St,(503) 284-4491,$$,4.0,131,https://www.yelp.com/biz/the-station-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.559259,-122.637624
17,ALAMEDA,Enzo's Caffe Italiano,1193.7752596,Italian,2529 NE Alberta St,(503) 222-1601,$$,4.0,191,https://www.yelp.com/biz/enzos-caffe-italiano-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5591577,-122.6392535
18,ALAMEDA,Mae Ploy Thai Cuisine,1199.5081471,Thai,2531 NE Alberta St,(503) 281-6180,$$,4.0,58,https://www.yelp.com/biz/mae-ploy-thai-cuisine-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.559219,-122.639196
19,ALAMEDA,Cruzroom,1214.21733768,Tapas/Small Plates,2338 NE Alberta St,(503) 208-3483,$$,4.0,402,https://www.yelp.com/biz/cruzroom-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589704914,-122.641128374
20,ALAMEDA,Bibingka,1215.44421803,Filipino,2314 NE Alberta St,,$,4.5,20,https://www.yelp.com/biz/bibingka-portland-4?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55884,-122.64152
21,ALAMEDA,Gumba,1221.4112645,Italian,NE 23rd And Alberta,(503) 975-5951,$$,5.0,106,https://www.yelp.com/biz/gumba-portland-6?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.558924,-122.641574
22,ALAMEDA,Hana,1235.21190218,Sushi Bars,2236 NE Alberta St,(503) 719-6984,$$,3.5,118,https://www.yelp.com/biz/hana-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55891,-122.6422
23,ALAMEDA,Little Griddle,1238.15747718,Breakfast & Brunch,3520 NE 42nd Ave,,$$,5.0,16,https://www.yelp.com/biz/little-griddle-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54858,-122.62002
24,ALAMEDA,The Knock Back,1253.50182597,Lounges,2315 NE Alberta St,(503) 284-4090,$$,4.0,124,https://www.yelp.com/biz/the-knock-back-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55921,-122.64154
25,ALAMEDA,Pine State Biscuits,1254.75804459,Southern,2204 NE Alberta St,(503) 477-6605,$,4.5,2575,https://www.yelp.com/biz/pine-state-biscuits-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589173,-122.6426891
26,ALAMEDA,County Cork Public House,1257.03310417,Pubs,1329 NE Fremont St,(503) 284-4805,$$,3.5,126,https://www.yelp.com/biz/county-cork-public-house-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54839,-122.65211
27,ALAMEDA,Peacock Window,1267.71091414,Himalayan/Nepalese,2231 NE Alberta St,(503) 545-8157,$,4.5,21,https://www.yelp.com/biz/peacock-window-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5592257616,-122.642095354
28,ALAMEDA,Back To Eden Bakery,1272.58447846,Bakeries,2217 NE Alberta St,(503) 477-5022,$,4.5,569,https://www.yelp.com/biz/back-to-eden-bakery-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5591669019,-122.642460423
29,ALAMEDA,El Nutri Taco,1272.81702809,Mexican,2124 NE Alberta St,(503) 473-8447,$,4.0,220,https://www.yelp.com/biz/el-nutri-taco-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55891,-122.64328
30,ALAMEDA,Tuk Tuk,1272.82217798,Thai,4239 NE Fremont St,(503) 282-0456,$$,3.5,93,https://www.yelp.com/biz/tuk-tuk-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54852,-122.61957
31,ALAMEDA,Ciao Vito,1283.09000858,Italian,2203 NE Alberta St,(503) 282-5522,$$,4.0,166,https://www.yelp.com/biz/ciao-vito-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55922,-122.6426
32,ALAMEDA,Verdigris,1284.93320178,American (New),1315 NE Fremont St,(503) 477-8106,$$,4.5,195,https://www.yelp.com/biz/verdigris-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54839,-122.6525
33,ALAMEDA,Acadia A New Orleans Bistro,1301.64594018,Cajun/Creole,1303 NE Fremont St,(503) 249-5001,$$,4.5,335,https://www.yelp.com/biz/acadia-a-new-orleans-bistro-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.548335,-122.652623
34,ALAMEDA,Little Big Burger,1305.01799028,Fast Food,2038 NE Alberta St,(503) 206-4997,$,3.5,105,https://www.yelp.com/biz/little-big-burger-portland-10?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55891,-122.64406
35,ALAMEDA,Boxer Ramen,1305.22440423,Ramen,2032 NE Alberta St,(503) 946-1619,$$,3.5,200,https://www.yelp.com/biz/boxer-ramen-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589505,-122.6440264
36,ALAMEDA,Proud Mary,1311.58361468,Coffee & Tea,2012 NE Alberta St,(503) 208-3475,$$,4.5,132,https://www.yelp.com/biz/proud-mary-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55885,-122.64444
37,ALAMEDA,Bollywood Theater,1335.49317673,Indian,2039 NE Alberta St,(971) 200-4711,$$,4.0,785,https://www.yelp.com/biz/bollywood-theater-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55929,-122.64405
38,ALAMEDA,Via Chicago,1339.97188948,Pizza,2013 NE Alberta Ave,(503) 719-6809,$$,3.5,208,https://www.yelp.com/biz/via-chicago-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55929,-122.64444
39,ALAMEDA,The Hilt,1345.58679627,Mediterranean,1934 NE Alberta St,(971) 255-1793,$,3.5,154,https://www.yelp.com/biz/the-hilt-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55892,-122.64512
40,ALAMEDA,Pok Pok Noi,1348.4257525,Thai,1469 NE Prescott St,(503) 287-4149,$$,4.0,407,https://www.yelp.com/biz/pok-pok-noi-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55566,-122.65006
41,ALAMEDA,Grain & Gristle,1351.58033249,Gastropubs,1473 NE Prescott St,(503) 298-5007,$$,4.0,371,https://www.yelp.com/biz/grain-and-gristle-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.55565,-122.65005
